"","Incident_ID","Reliability","Date","Quarter","Full_Location","School","City","State","School_Level","Location","Location_Type","During_School","Time_Period","Situation","Bullied","Domestic_Violence","Gang_Related","Preplanned","Shots_Fired","lon","lat"
"14","20191210NJSAJ","4",2019-12-10,"Winter","Sacred Heart School Jersey City NJ","Sacred Heart School","Jersey City","NJ","K-8","Off School Property","Off School Property","Yes","Afternoon Classes","Indiscriminate Shooting","No","No","No","No",">100",-74.0833039,40.706945
"15","20191203WITHM","4",2019-12-03,"Winter","Thomas Jefferson Middle School Madison WI","Thomas Jefferson Middle School","Madison","WI","Middle","School Bus","School Bus","Yes","Dismissal","Unknown","No","No","No","No","1",-89.5013096,43.0656772
"16","20191202WIWAW","5",2019-12-02,"Winter","Waukesha South High School Waukesha WI","Waukesha South High School","Waukesha","WI","High","Classroom","Inside School Building","Yes","Morning Classes","Bullying",NA,"No","No",NA,NA,-88.2223542,42.9929133
"17","20191121ILRIO","4",2019-11-21,"Fall","Rich Central High School Olympia Fields IL","Rich Central High School","Olympia Fields","IL","High","Parking Lot (Bus)","Outside on School Property","Yes","Dismissal","Intentional Property Damage","No","No","No","No","1",-87.7059589,41.523021
"18","20191114CASAS","4",2019-11-14,"Fall","Saugus High School Santa Clarita CA","Saugus High School","Santa Clarita","CA","High","Courtyard","Outside on School Property","Yes","School Start","Indiscriminate Shooting","No","No","No","Yes","6",-118.5174823,34.4422352
"19","20191011LARAR","4",2019-10-11,"Fall","Rayne High School Rayne LA","Rayne High School","Rayne","LA","High","Parking Lot","Outside on School Property","No","Sport Event","Indiscriminate Shooting","No","No","No","No","20",-92.2650492,30.2483783
"20","20191009MAGRL","4",2019-10-09,"Fall","Greenhalge Elementary School Lowell MA","Greenhalge Elementary School","Lowell","MA","Elementary","Playground","Outside on School Property","No","After School","Indiscriminate Shooting",NA,"No","No","No",NA,-71.3091864,42.6573991
"21","20190719CAMOS","3",2019-07-19,"Summer","Monroe Clark Middle School San Diego CA","Monroe Clark Middle School","San Diego","CA","Middle","Front of School","Outside on School Property","Yes","Morning Classes","Intentional Property Damage","No","No","No","No",NA,-117.0999742,32.7406545
"22","20190701NYSCN","4",2019-07-01,"Summer","School of Science and Applied Learning New York NY","School of Science and Applied Learning","New York","NY","Elementary","Playground","Outside on School Property","No","Night","Illegal Activity","No","No","No","No","<10",-73.8871074,40.8458286
"23","20190613NJTAW","3",2019-06-13,"Summer","Tamaques Elementary School Westfield NJ","Tamaques Elementary School","Westfield","NJ","Elementary","Parking Lot","Outside on School Property","No","After School","Indiscriminate Shooting","No",NA,"No",NA,"0",-74.3381846,40.6347581
"24","20190507COSTH","5",2019-05-07,"Spring","STEM School Highlands Ranch Highlands Ranch CO","STEM School Highlands Ranch","Highlands Ranch","CO","K-12","Classroom","Inside School Building","Yes","Afternoon Classes","Indiscriminate Shooting","Yes","No","No","Yes",">10",-104.9979225,39.5558326
"25","20190327MSSVH","3",2019-03-27,"Spring","S V Marshall Elementary Holmes County MS","S V Marshall Elementary","Holmes County","MS","Elementary","School Bus","School Bus","Yes","Dismissal","Unknown","No","No","No","No","2",-90.1837158,33.1671218
"26","20190131TXATA","4",2019-01-31,"Winter","Atascocita High School Atascocita TX","Atascocita High School","Atascocita","TX","High","Parking Lot","Outside on School Property","No","Evening","Illegal Activity","No","No","No","No","<10",-95.1714718,29.9794915
"27","20190131TNMAM","4",2019-01-31,"Winter","Manassas High School Memphis TN","Manassas High School","Memphis","TN","High","Outside on School Property","Outside on School Property","No","School Event","Unknown","No","No","No","No",NA,-90.0322099,35.1707184
"28","20190130GAMIL","3",2019-01-30,"Winter","Miller Grove High School Lithonia GA","Miller Grove High School","Lithonia","GA","High","Parking Lot","Outside on School Property","No","Evening","Illegal Activity","No","No","No","No","1",-84.1490931,33.7099216
"29","20181213INDER","4",2018-12-13,"Winter","Dennis Intermediate School Richmond IN","Dennis Intermediate School","Richmond","IN","Middle","Hallway","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting","Yes","No","No","Yes",NA,-84.911924,39.831731
"30","20181211KYCAC","3",2018-12-11,"Winter","Cawood Elementary School Cawood KY","Cawood Elementary School","Cawood","KY","Elementary","Parking Lot","Outside on School Property","No","Evening","Unknown","No","No","No","No",NA,-83.2299226,36.7846137
"31","20181121MIPEP","3",2018-11-21,"Fall","Pentwater Public School Pentwater MI","Pentwater Public School","Pentwater","MI","K-8","Front of School","Outside on School Property","No","Not a School Day","Intentional Property Damage","No","No","No","No",NA,-86.4245176,43.7835354
"32","20181105SCACC","2",2018-11-05,"Fall","Academy of Hope Conway SC","Academy of Hope","Conway","SC","K-8","Classroom","Inside School Building","Yes","Morning Classes","Unknown",NA,"No","No","No","1",-79.0586341,33.8339809
"33","20181023NHGOM","2",2018-10-23,"Fall","Gossler Park Elementary School Manchester NH","Gossler Park Elementary School","Manchester","NH","Elementary","Playground","Outside on School Property","Yes","Afternoon Classes","Indiscriminate Shooting",NA,"No","No","No","<10",-71.4796472,42.9894476
"34","20180831IANOE","3",2018-08-31,"Summer","North Scott Junior High School Eldridge IA","North Scott Junior High School","Eldridge","IA","Junior High","Classroom","Inside School Building","Yes","Morning Classes","Hostage/Standoff",NA,NA,"No","No","0",-90.5891055,41.6507723
"35","20180625OHFUS","2",2018-06-25,"Summer","Fulton Elementary School Springfield OH","Fulton Elementary School","Springfield","OH","Elementary","Parking Lot","Outside on School Property","No","After School","Illegal Activity","No","No","No","No","0",-83.8245752,39.9179726
"36","20180624MTSEM","3",2018-06-24,"Summer","Sentinel High School Missoula MT","Sentinel High School","Missoula","MT","High","Field (General)","Outside on School Property","No","Sport Event","Illegal Activity","No","No","No","No","4",-114.0094876,46.8481049
"37","20180525INNON","4",2018-05-25,"Spring","Noblesville West Middle School Noblesville IN","Noblesville West Middle School","Noblesville","IN","Middle","Classroom","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting","No","No","No","No","10",-86.031188,40.077283
"38","20180521GABEG","2",2018-05-21,"Spring","Beaverbrook Elementary School Griffin GA","Beaverbrook Elementary School","Griffin","GA","High","Parking Lot","Outside on School Property","Yes","Afternoon Classes","Unknown","No","No","No","No","1",-84.295559,33.321488
"39","20180518TXSAS","5",2018-05-18,"Spring","Santa Fe High School Santa Fe TX","Santa Fe High School","Santa Fe","TX","High","Classroom","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting","Yes","No","No","Yes",NA,-95.1419934,29.3926941
"40","20180516ILDID","5",2018-05-16,"Spring","Dixon High School Dixon IL","Dixon High School","Dixon","IL","High","Gym","Inside School Building","Yes","Morning Classes","Anger Over Grade/Suspension/Discipline","Yes","No","No",NA,NA,-89.4882965,41.84646
"41","20180503SDENW","3",2018-05-03,"Spring","Enemy Swim Day School Waubay SD","Enemy Swim Day School","Waubay","SD","K-8","Field (General)","Outside on School Property","No","Evening","Unknown",NA,NA,"No","No",NA,-97.2933301,45.4253628
"42","20180420FLFOO","5",2018-04-20,"Spring","Forest High School Ocala FL","Forest High School","Ocala","FL","High","Classroom","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting","No","No","No","Yes",NA,-82.0674687,29.1428492
"43","20180328MSEUE","2",2018-03-28,"Spring","Eupora High School Eupora MS","Eupora High School","Eupora","MS","High","Field (General)","Outside on School Property","No","After School","Illegal Activity",NA,"No","No","No","6",-89.2742085,33.5432173
"44","20180320MDGRG","4",2018-03-20,"Spring","Great Mills High School Great Mills MD","Great Mills High School","Great Mills","MD","High","Hallway","Inside School Building","Yes","School Start","Murder/Suicide","No","Yes","No","No",NA,-76.4874175,38.2474355
"45","20180228GADAD","2",2018-02-28,"Winter","Dalton High School Dalton GA","Dalton High School","Dalton","GA","High","Classroom","Inside School Building","Yes","Morning Classes","Psychosis","No","No","No","No","1",-84.9860094,34.7794315
"46","20180220OHJAM","4",2018-02-20,"Winter","Jackson Memorial Middle School Massillon OH","Jackson Memorial Middle School","Massillon","OH","Middle","Bathroom","Inside School Building","Yes","School Start","Indiscriminate Shooting",NA,"No","No","Yes","1",-81.4864226,40.8671021
"47","20180214FLMAP","4",2018-02-14,"Winter","Marjory Stoneman Douglas High School Parkland FL","Marjory Stoneman Douglas High School","Parkland","FL","High","Hallway","Inside School Building","Yes","Afternoon Classes","Indiscriminate Shooting","No","No","No","Yes",NA,-80.2675814,26.3042962
"48","20180205MDOXO","4",2018-02-05,"Winter","Oxon Hill High School Oxon Hill MD","Oxon Hill High School","Oxon Hill","MD","High","Parking Lot","Outside on School Property","No","Evening","Illegal Activity",NA,"No","No","No","1",-76.9935996,38.7971901
"49","20180123KYMAB","4",2018-01-23,"Winter","Marshall County High School Benton KY","Marshall County High School","Benton","KY","High","Hallway","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting",NA,"No","No","Yes",NA,-88.3328532,36.9127601
"50","20180105IAFOF","4",2018-01-05,"Winter","Forest City School Bus Forest City IA","Forest City School Bus","Forest City","IA",NA,"School Bus","School Bus","Yes","Before School","Intentional Property Damage","No","No","No","No","1",-93.6541126,43.2642388
"51","20171231WAPIM","2",2017-12-31,"Winter","Pinewood Elementary School Marysville WA","Pinewood Elementary School","Marysville","WA","Elementary","Beside Building","Outside on School Property","No","Not a School Day","Intentional Property Damage","No","No","No","No","60",-122.1608513,48.0736274
"52","20171231LAEDA","2",2017-12-31,"Winter","Edna Karr High School Algiers LA","Edna Karr High School","Algiers","LA","High","Parking Lot","Outside on School Property","No","Sport Event","Drive-by Shooting","No","No","No","No","<30",-90.0078277,29.9364814
"53","20171207NMAZA","5",2017-12-07,"Winter","Aztec High School Aztec NM","Aztec High School","Aztec","NM","High","Classroom","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting",NA,"No","No","Yes",NA,-107.9905729,36.8207444
"54","20171128CABOS","3",2017-11-28,"Fall","Booksin Elementary School San Jose CA","Booksin Elementary School","San Jose","CA","Elementary","Beside Building","Outside on School Property","No","Night","Intentional Property Damage",NA,NA,"No","No",NA,-121.90567,37.2883458
"55","20171114CARAR","5",2017-11-14,"Fall","Rancho Tehama Elementary School Rancho Tehama Reserve CA","Rancho Tehama Elementary School","Rancho Tehama Reserve","CA","Elementary","Beside Building","Outside on School Property","Yes","Morning Classes","Illegal Activity","No","No","No","No",NA,-122.3930923,40.0187733
"56","20171027NYPRU","4",2017-10-27,"Fall","Proctor High School Utica NY","Proctor High School","Utica","NY","High","Parking Lot (Bus)","Outside on School Property","Yes","Dismissal","Drive-by Shooting","No","No","No","No",NA,-75.2149057,43.082638
"57","20170929CASUL","2",2017-09-29,"Fall","Sun Valley High School Los Angeles CA","Sun Valley High School","Los Angeles","CA","High","Off School Property","Off School Property","Yes","Dismissal","Unknown","No","No","No","No",NA,-118.3970269,34.2360401
"58","20170920ILMAM","4",2017-09-20,"Fall","Mattoon High School Mattoon IL","Mattoon High School","Mattoon","IL","High","Cafeteria","Inside School Building","Yes","Lunch","Bullying","Yes","Yes","No","Yes",NA,-88.3868799,39.4745412
"59","20170913WAFRR","5",2017-09-13,"Fall","Freeman High School Rockford WA","Freeman High School","Rockford","WA","High","Hallway","Inside School Building","Yes","Morning Classes","Bullying","Yes","No","No","Yes",NA,-117.1963944,47.5200002
"60","20170908OHCOC","2",2017-09-08,"Fall","Columbus Scioto 6-12 Columbus OH","Columbus Scioto 6-12","Columbus","OH","6-12","Hallway","Inside School Building","Yes","Morning Classes","Psychosis",NA,NA,"No","No",NA,-82.9970961,39.901571
"61","20170524NEMCO","3",2017-05-24,"Spring","McMillan Middle School Omaha NE","McMillan Middle School","Omaha","NE","Middle","Parking Lot","Outside on School Property","No","Evening","Illegal Activity","No","No","No","No",NA,-95.9702145,41.3183172
"62","20170410CANOS","2",2017-04-10,"Spring","North Park Elementary School San Bernardino CA","North Park Elementary School","San Bernardino","CA","Elementary","Classroom","Inside School Building","Yes","Morning Classes","Murder/Suicide","No","Yes","No","No",NA,-117.301319,34.1792964
"63","20170328PALIP","3",2017-03-28,"Spring","Linton Middle School Penn Hills PA","Linton Middle School","Penn Hills","PA","Middle","Parking Lot","Outside on School Property","No","After School","Self-defense","No","No","No","No","<5",-79.8131504,40.4810134
"64","20170120OHWEW","5",2017-01-20,"Winter","West Liberty-Salem High School West Liberty OH","West Liberty-Salem High School","West Liberty","OH","High","Bathroom","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting","No","No","No","Yes",NA,-83.754573,40.21598
"65","20161201UTMUB","2",2016-12-01,"Winter","Mueller Park Junior High School Bountiful UT","Mueller Park Junior High School","Bountiful","UT","Junior High","Classroom","Inside School Building","No","Morning Classes","Indiscriminate Shooting","Yes","No","No","No","1",-111.8611858,40.8723846
"66","20160928SCTOT","5",2016-09-28,"Fall","Townville Elementary School Townville SC","Townville Elementary School","Townville","SC","Elementary","Playground","Outside on School Property","Yes","Afternoon Classes","Indiscriminate Shooting","Yes","No","No","Yes",NA,-82.9030127,34.5633339
"67","20160630CAWOH","2",2016-06-30,"Summer","Woodrow Wilson Junior High School Hanford CA","Woodrow Wilson Junior High School","Hanford","CA","Junior High","Outside on School Property","Outside on School Property","No","Evening","Unknown",NA,"No","No","No","<10",-119.6535642,36.3345178
"68","20160616ILMCC","2",2016-06-16,"Summer","Mcnair Elementary School Chicago IL","Mcnair Elementary School","Chicago","IL","Elementary","Parking Lot","Outside on School Property","Yes","Lunch","Unknown",NA,"No","No","No","1",-87.7468807,41.8980114
"69","20160504COEAP","2",2016-05-04,"Spring","East High School Pueblo CO","East High School","Pueblo","CO","High","Parking Lot","Outside on School Property","No","After School","Drive-by Shooting",NA,"No","No","No","3",-104.5774626,38.289738
"70","20160229OHMAM","5",2016-02-29,"Winter","Madison High School Middletown OH","Madison High School","Middletown","OH","High","Cafeteria","Inside School Building","Yes","Lunch","Indiscriminate Shooting","No","No","No","Yes","<10",-84.4433811,39.533917
"71","20151105GAVEM","2",2015-11-05,"Fall","Vereen School Moultrie GA","Vereen School","Moultrie","GA","Other","Classroom","Inside School Building","Yes",NA,"Psychosis","No","No","No","No","1",-83.8059043,31.1768286
"72","20151015TXKAS","2",2015-10-15,"Fall","Karen Wagner High School San Antonio TX","Karen Wagner High School","San Antonio","TX","High","Parking Lot","Outside on School Property","Yes","Morning Classes","Anger Over Grade/Suspension/Discipline","No","No","No","No",NA,-98.3569359,29.4566422
"73","20150930SDHAH","4",2015-09-30,"Fall","Harrisburg High School Harrisburg SD","Harrisburg High School","Harrisburg","SD","High","Office","Inside School Building","Yes","Morning Classes","Psychosis","No","No","No","Yes","1",-96.7194485,43.4342954
"74","20150823TXWIR","3",2015-08-23,"Summer","William Velasquez Elementary School Richmond TX","William Velasquez Elementary School","Richmond","TX","Elementary","Other","Outside on School Property","No","Not a School Day","Indiscriminate Shooting","No","No","No","No",NA,-95.6830769,29.539144
"75","20150808TXPAP","3",2015-08-08,"Summer","Paradise High School Paradise TX","Paradise High School","Paradise","TX","High","Parking Lot","Outside on School Property","No","Not a School Day","Intentional Property Damage","No","No","No","No","2",-97.6913857,33.1444197
"76","20150724TXELC","3",2015-07-24,"Summer","Elolf Elementary School Converse TX","Elolf Elementary School","Converse","TX","Elementary","Parking Lot","Outside on School Property","No","Not a School Day","Illegal Activity","No","No","No","No",NA,-98.3175399,29.4862105
"77","20150604NCSOF","3",2015-06-04,"Summer","South Macon Elementary School Franklin NC","South Macon Elementary School","Franklin","NC","Elementary","Parking Lot","Outside on School Property","Yes","Before School","Psychosis","No","No","No","Yes","1",-83.3992436,35.1134362
"78","20150427WANOL","2",2015-04-27,"Spring","North Thurston High School Lacey WA","North Thurston High School","Lacey","WA","High","Hallway","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting","Yes","No","No","Yes","2",-122.8325611,47.0519675
"79","20141024WAMAM","5",2014-10-24,"Fall","Marysville Pilchuck High School Marysville WA","Marysville Pilchuck High School","Marysville","WA","High","Cafeteria","Inside School Building","Yes","Lunch","Bullying","Yes","Yes","No","Yes",NA,-122.1545265,48.0962113
"80","20140925NHWEM","3",2014-09-25,"Fall","West High School Manchester NH","West High School","Manchester","NH","High","Cafeteria","Inside School Building","Yes","School Start","Hostage/Standoff",NA,"No","No","No","0",-71.4746252,42.9862502
"81","20140610ORRET","5",2014-06-10,"Summer","Reynolds High School Troutdale OR","Reynolds High School","Troutdale","OR","High","Gym","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting","No",NA,"No","Yes",NA,-122.4053268,45.5285186
"82","20140521WICLM","3",2014-05-21,"Spring","Clarke Street Elementary School Milwaukee WI","Clarke Street Elementary School","Milwaukee","WI","Elementary","Front of School","Outside on School Property","No","Evening","Illegal Activity","No","No","No","No","20+",-87.9493564,43.0663146
"83","20140421INSTG","3",2014-04-21,"Spring","St. Mary Catholic School Griffith IN","St. Mary Catholic School","Griffith","IN","High","Parking Lot","Outside on School Property","Yes","After School","Murder/Suicide","No","Yes","No","No",NA,-87.4269099,41.5314222
"84","20140114NMBER","5",2014-01-14,"Winter","Berrendo Middle School Roswell NM","Berrendo Middle School","Roswell","NM","Middle","Gym","Inside School Building","Yes","Before School","Bullying","Yes","No","No","Yes","3",-104.5116806,33.4738006
"85","20140114LASTB","4",2014-01-14,"Winter","St. James High School Baton Rouge LA","St. James High School","Baton Rouge","LA","High","Parking Lot","Outside on School Property","No","Sport Event","Drive-by Shooting","No","No","No","No","<10",-91.1871466,30.4514677
"86","20131213COARC","5",2013-12-13,"Winter","Arapahoe High School Centennial CO","Arapahoe High School","Centennial","CO","High","Other","Inside School Building","Yes","Lunch","Indiscriminate Shooting","Yes","No","No","Yes","5",-104.9627974,39.5816089
"87","20131021NVSPS","5",2013-10-21,"Fall","Sparks Middle School Sparks NV","Sparks Middle School","Sparks","NV","Middle","Beside Building","Outside on School Property","Yes","Before School","Indiscriminate Shooting","Yes","No","No",NA,"4",-119.7682995,39.5519897
"88","20130927ILROC","2",2013-09-27,"Fall","Roosevelt High School Chicago IL","Roosevelt High School","Chicago","IL","High","Beside Building","Outside on School Property","Yes","Dismissal","Illegal Activity","No","No","No","No","1",-87.714339,41.9657534
"89","20130820GAROD","3",2013-08-20,"Summer","Ronald E. McNair Discovery Learning Academy Decatur GA","Ronald E. McNair Discovery Learning Academy","Decatur","GA","Elementary","Office","Inside School Building","Yes","Morning Classes","Psychosis","No","No","No","Yes","Multiple",-84.306962,33.7272193
"90","20130618NCHIC","2",2013-06-18,"Summer","Hidden Valley Elementary School Charlotte NC","Hidden Valley Elementary School","Charlotte","NC","Elementary","Parking Lot","Outside on School Property","No","After School","Illegal Activity","No","No","No","No",">10",-80.784279,35.268156
"91","20130430NMTUT","2",2013-04-30,"Spring","Tularosa Elementary School Tularosa NM","Tularosa Elementary School","Tularosa","NM","Elementary","Outside on School Property","Outside on School Property","No","Night","Illegal Activity","No","No","No","No","1",-106.0131404,33.072224
"92","20130201MIMAD","2",2013-02-01,"Winter","Martin Luther King High School Detroit MI","Martin Luther King High School","Detroit","MI","High","Parking Lot","Outside on School Property","No","Evening","Illegal Activity","No","No","No","No",NA,-83.0162125,42.3433584
"93","20130110CATAT","5",2013-01-10,"Winter","Taft Union High School Taft CA","Taft Union High School","Taft","CA","High","Hallway","Inside School Building","Yes","Morning Classes","Bullying","Yes","No","No","Yes","2",-119.4605088,35.1463033
"94","20121214CTSAN","5",2012-12-14,"Winter","Sandy Hook Elementary School Newtown CT","Sandy Hook Elementary School","Newtown","CT","Elementary","Classroom","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting",NA,"No","No","Yes",NA,-73.2773997,41.419961
"95","20121019ILBAC","3",2012-10-19,"Fall","Banner Academy South Chicago IL","Banner Academy South","Chicago","IL","Other","Beside Building","Outside on School Property","No","After School","Illegal Activity","No","No","No","No",NA,-87.7542455,41.8958192
"96","20120907ILNON","3",2012-09-07,"Fall","Normal Community High School Normal IL","Normal Community High School","Normal","IL","High","Classroom","Inside School Building","Yes","Morning Classes","Hostage/Standoff","Yes","No","No","Yes",NA,-88.9148777,40.5331449
"97","20120827MDPEP","5",2012-08-27,"Summer","Perry Hall High School Perry Hall MD","Perry Hall High School","Perry Hall","MD","High","Cafeteria","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting","No","No","No","Yes","2",-76.441093,39.408758
"98","20120306FLEPJ","2",2012-03-06,"Spring","Episcopal School of Jacksonville Jacksonville FL","Episcopal School of Jacksonville","Jacksonville","FL","Unknown","Office","Inside School Building","Yes","Afternoon Classes","Anger Over Grade/Suspension/Discipline","No","No","No","No","<5",-81.6216609,30.3107932
"99","20120227OHCHC","5",2012-02-27,"Winter","Chardon High School Chardon OH","Chardon High School","Chardon","OH","High","Cafeteria","Inside School Building","Yes","School Start","Indiscriminate Shooting","No","No","No","Yes",NA,-81.2133262,41.5786639
"100","20120110TXNOH","2",2012-01-10,"Winter","North Forest High School Houston TX","North Forest High School","Houston","TX","High","Hallway","Inside School Building","Yes","Afternoon Classes","Bullying",NA,"No","No","No","1",-95.2602224,29.8668293
"101","20110923WAISS","3",2011-09-23,"Fall","Issaquah High School Seattle WA","Issaquah High School","Seattle","WA","High","Football Field/Track","Off School Property","No","Sport Event","Indiscriminate Shooting","No","No","No","No",NA,-122.0286734,47.5224852
"102","20110105NEMIO","5",2011-01-05,"Winter","Millard South High School Omaha NE","Millard South High School","Omaha","NE","High","Office","Inside School Building","Yes","Lunch","Anger Over Grade/Suspension/Discipline","No","No","No","No","3",-96.1462032,41.2039062
"103","20101129WIMAM","2",2010-11-29,"Fall","Marinette High School Marinette WI","Marinette High School","Marinette","WI","High","Classroom","Inside School Building","No","Evening","Hostage/Standoff","No","No","No","No","4",-87.6303503,45.0820741
"104","20101023KSTOT","5",2010-10-23,"Fall","Topeka West High School Topeka KS","Topeka West High School","Topeka","KS","High","Field (General)","Outside on School Property","No","Evening","Illegal Activity","No","No","No","No",NA,-95.7462907,39.0316327
"105","20101008CAKEC","5",2010-10-08,"Fall","Kelly Elementary School Carlsbad CA","Kelly Elementary School","Carlsbad","CA","Elementary","Playground","Outside on School Property","Yes","Lunch","Indiscriminate Shooting","No","No","No","No","6",-117.3119795,33.147224
"106","20100921SCSOC","4",2010-09-21,"Fall","Socastee High School Conway SC","Socastee High School","Conway","SC","High","Office","Inside School Building","Yes","Afternoon Classes","Bullying","Yes","No","No","Yes","1",-78.9972185,33.6844558
"107","20100830TNSUB","5",2010-08-30,"Summer","Sullivan Central High School Blountville TN","Sullivan Central High School","Blountville","TN","High","Hallway","Inside School Building","Yes","Morning Classes","Hostage/Standoff","No","No","No",NA,"0",-82.3870945,36.5297077
"108","20100428VAWOP","3",2010-04-28,"Spring","Woodrow Wilson High School Portsmouth VA","Woodrow Wilson High School","Portsmouth","VA","High","Cafeteria","Inside School Building","Yes","Lunch","Bullying","Yes","No","No","No","3",-76.3798262,36.8141251
"109","20100223CODEL","5",2010-02-23,"Winter","Deer Creek Middle School Littleton CO","Deer Creek Middle School","Littleton","CO","Middle","Front of School","Outside on School Property","Yes","Dismissal","Psychosis",NA,"No","No","No","2",-105.1019619,39.5867127
"110","20100210TNINK","5",2010-02-10,"Winter","Inskip Elementary School Knoxville TN","Inskip Elementary School","Knoxville","TN","High","Office","Inside School Building","No","After School","Anger Over Grade/Suspension/Discipline","No","No","No","No","<10",-83.9585737,36.0099923
"111","20091106PAHAW","3",2009-11-06,"Fall","Hamilton High School (bus) West Philadelphia PA","Hamilton High School (bus)","West Philadelphia","PA","High","School Bus","School Bus","Yes","Before School","Bullying","Yes","No","No","No","1",-75.2248702,39.9600149
"112","20090916VAVIG","1",2009-09-16,"Fall","Virginia Randolph Community High School Glen Allen VA","Virginia Randolph Community High School","Glen Allen","VA","High","Playground","Outside on School Property","Yes","Afternoon Classes","Bullying",NA,NA,"No","No","2",-77.4818006,37.6618987
"113","20090624IAAPP","3",2009-06-24,"Summer","Aplington-Parkersburg High School Parkersburg IA","Aplington-Parkersburg High School","Parkersburg","IA","High","Gym","Inside School Building","Yes","Morning Classes","Psychosis",NA,"No","No","No","6",-92.77853,42.5730354
"114","20090518LALAL","5",2009-05-18,"Spring","Larose-Cut Off Middle School Larose LA","Larose-Cut Off Middle School","Larose","LA","Middle","Classroom","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting",NA,"No","No","No","2",-90.3648742,29.5626068
"115","20081103CAELO","2",2008-11-03,"Fall","El Rio Elementary School Oxnard CA","El Rio Elementary School","Oxnard","CA","Elementary","Classroom; Beside Building","Both Inside/Outside","Yes","Afternoon Classes","Intentional Property Damage","No","No","No","No",NA,-119.159416,34.2407189
