,fixed acidity,volatile acidity,citric acid,chlorides,free sulfur dioxide,pH,sulphates,alcohol,quality
100,7.4,0.25,0.37,0.06,52.0,3.0,0.44,9.1,5
101,7.1,0.12,0.32,0.054000000000000006,64.0,3.4,0.41,9.4,5
102,6.0,0.21,0.24,0.05,55.0,3.34,0.39,9.4,5
103,7.5,0.305,0.4,0.059000000000000004,44.0,2.99,0.46,9.0,5
104,7.4,0.25,0.37,0.06,52.0,3.0,0.44,9.1,5
105,7.3,0.13,0.32,0.051,34.0,3.2,0.35,9.2,6
106,7.1,0.12,0.32,0.054000000000000006,64.0,3.4,0.41,9.4,5
107,7.1,0.23,0.35,0.04,60.0,3.16,0.59,9.1,6
108,7.1,0.23,0.35,0.04,60.0,3.16,0.59,9.1,6
109,6.9,0.33,0.28,0.051,37.0,3.27,0.6,10.3,5
110,6.5,0.17,0.54,0.08199999999999999,64.0,2.89,0.39,8.8,6
111,7.2,0.27,0.46,0.052000000000000005,45.0,3.04,0.52,8.9,5
112,7.2,0.31,0.5,0.055999999999999994,68.0,3.01,0.47,9.2,5
113,6.7,0.41,0.34,0.049,29.0,3.22,0.51,9.1,5
114,6.7,0.41,0.34,0.049,29.0,3.22,0.51,9.1,5
115,5.5,0.485,0.0,0.065,8.0,3.63,0.4,9.7,4
116,6.0,0.31,0.24,0.040999999999999995,25.0,3.31,0.44,11.3,6
117,7.0,0.14,0.4,0.035,16.0,3.19,0.42,11.8,6
118,7.2,0.31,0.5,0.055999999999999994,68.0,3.01,0.47,9.2,5
119,7.3,0.32,0.48,0.06,57.0,3.04,0.5,9.2,5
120,5.9,0.36,0.04,0.046,21.0,3.22,0.51,10.2,5
121,7.8,0.24,0.32,0.054000000000000006,42.0,3.01,0.54,8.8,5
122,7.4,0.16,0.31,0.059000000000000004,31.0,3.29,0.34,9.7,5
123,6.9,0.19,0.28,0.057999999999999996,14.0,3.29,0.36,9.1,6
124,6.4,0.13,0.47,0.092,40.0,3.21,0.36,9.8,6
125,6.7,0.19,0.36,0.026000000000000002,63.0,3.27,0.48,11.0,6
126,7.4,0.39,0.23,0.033,29.0,3.14,0.42,10.5,5
127,6.5,0.24,0.32,0.038,48.0,3.45,0.54,9.7,7
128,6.1,0.3,0.56,0.044000000000000004,47.0,3.3,0.57,10.9,7
129,6.1,0.3,0.56,0.046,46.0,3.31,0.57,10.9,6
130,5.7,0.26,0.25,0.02,7.0,3.39,0.37,10.6,5
131,6.5,0.24,0.32,0.038,48.0,3.45,0.54,9.7,7
132,6.5,0.425,0.4,0.038,59.0,3.23,0.57,9.0,5
133,6.6,0.24,0.27,0.035,46.0,3.24,0.51,9.2,5
134,6.8,0.27,0.22,0.034,55.0,3.19,0.52,8.9,5
135,6.7,0.27,0.31,0.036000000000000004,44.0,3.26,0.56,9.6,5
136,8.2,0.23,0.4,0.027000000000000003,36.0,3.12,0.38,10.7,6
137,7.1,0.37,0.67,0.045,49.0,3.16,0.44,8.7,5
138,6.8,0.19,0.36,0.035,30.0,3.15,0.54,10.8,7
139,8.1,0.28,0.39,0.028999999999999998,18.0,3.23,0.52,11.8,6
140,6.3,0.31,0.34,0.045,20.0,3.3,0.43,10.2,5
141,7.1,0.37,0.67,0.045,49.0,3.16,0.44,8.7,5
142,7.9,0.21,0.4,0.039,38.0,3.21,0.54,10.8,6
143,8.5,0.21,0.41,0.036000000000000004,24.0,3.18,0.53,9.7,6
144,8.1,0.2,0.4,0.037000000000000005,19.0,3.12,0.54,11.2,6
145,6.3,0.255,0.37,0.04,37.0,3.0,0.39,10.9,6
146,5.6,0.16,0.27,0.044000000000000004,53.0,3.28,0.37,10.1,6
147,6.4,0.595,0.14,0.057999999999999996,15.0,3.38,0.36,9.0,4
148,6.3,0.34,0.33,0.034,19.0,3.38,0.58,12.0,7
149,6.9,0.25,0.3,0.054000000000000006,23.0,2.99,0.38,9.4,6
150,7.9,0.22,0.38,0.043,46.0,3.12,0.32,11.5,7
151,7.6,0.18,0.46,0.055,58.0,3.14,0.43,9.9,6
152,6.9,0.25,0.3,0.054000000000000006,23.0,2.99,0.38,9.4,6
153,7.2,0.18,0.41,0.048,41.0,3.14,0.45,10.4,5
154,8.2,0.23,0.4,0.049,12.0,3.06,0.84,9.7,6
155,7.4,0.24,0.42,0.066,48.0,2.89,0.42,8.9,6
156,7.4,0.24,0.42,0.066,48.0,2.89,0.42,8.9,6
157,6.1,0.32,0.24,0.036000000000000004,38.0,3.29,0.42,12.4,7
158,5.2,0.44,0.04,0.036000000000000004,43.0,3.36,0.33,12.1,8
159,5.2,0.44,0.04,0.036000000000000004,43.0,3.36,0.33,12.1,8
160,6.1,0.32,0.24,0.036000000000000004,38.0,3.29,0.42,12.4,7
161,6.4,0.22,0.56,0.055,27.0,2.98,0.4,9.1,5
162,6.3,0.36,0.3,0.049,14.0,3.28,0.39,10.6,5
163,7.4,0.24,0.42,0.066,48.0,2.89,0.42,8.9,6
164,6.7,0.24,0.35,0.05,64.0,3.15,0.5,9.5,5
165,7.0,0.23,0.36,0.051,72.0,3.16,0.49,9.8,5
166,8.4,0.27,0.46,0.048,39.0,3.14,0.59,9.6,6
167,6.7,0.46,0.18,0.034,25.0,3.08,0.44,12.6,7
168,7.5,0.29,0.31,0.055,20.0,3.08,0.54,9.3,5
169,9.8,0.42,0.48,0.034,5.0,2.87,0.29,10.0,5
170,7.1,0.3,0.46,0.066,29.0,3.12,0.54,12.7,6
171,7.9,0.19,0.45,0.045,17.0,3.13,0.39,11.0,6
172,7.6,0.48,0.37,0.037000000000000005,4.0,3.03,0.39,11.4,4
173,6.3,0.22,0.43,0.038,31.0,3.35,0.33,11.5,7
174,7.5,0.27,0.31,0.051,33.0,3.09,0.64,10.2,5
175,6.9,0.23,0.4,0.04,50.0,3.11,0.27,11.4,6
176,7.2,0.32,0.47,0.044000000000000004,19.0,3.03,0.41,12.6,4
177,5.9,0.23,0.3,0.054000000000000006,57.0,3.28,0.39,9.4,5
178,6.0,0.67,0.07,0.06,9.0,3.11,0.35,8.7,4
179,6.4,0.25,0.32,0.049,41.0,3.19,0.68,9.2,6
180,6.4,0.33,0.31,0.048,42.0,3.19,0.66,9.3,6
181,7.1,0.34,0.15,0.053,61.0,3.09,0.43,9.2,5
182,6.8,0.28,0.4,0.048,48.0,2.93,0.5,8.7,5
183,6.9,0.27,0.4,0.05,64.0,3.18,0.58,9.6,6
184,6.8,0.26,0.56,0.043,64.0,3.02,0.63,9.3,5
185,6.8,0.29,0.56,0.043,66.0,3.02,0.63,9.3,5
186,6.7,0.24,0.41,0.04,49.0,3.12,0.61,9.9,6
187,5.9,0.3,0.23,0.038,42.0,3.15,0.5,11.0,5
188,6.8,0.53,0.35,0.034,26.0,3.26,0.57,12.7,8
189,6.5,0.28,0.28,0.047,54.0,3.09,0.54,8.9,4
190,6.6,0.28,0.28,0.052000000000000005,55.0,3.09,0.55,8.9,6
191,6.8,0.28,0.4,0.048,48.0,2.93,0.5,8.7,5
192,6.8,0.28,0.36,0.045,28.0,3.02,0.37,11.4,6
193,6.6,0.15,0.34,0.055,34.0,3.36,0.42,9.6,5
194,6.4,0.29,0.44,0.2,75.0,3.02,0.41,9.1,5
195,6.4,0.3,0.45,0.19699999999999998,76.0,3.02,0.39,9.1,6
196,6.4,0.29,0.44,0.19699999999999998,75.0,3.01,0.38,9.1,5
197,6.8,0.26,0.24,0.052000000000000005,54.0,3.13,0.47,8.9,5
198,7.1,0.32,0.24,0.05,52.0,3.1,0.49,8.8,5
199,6.8,0.26,0.24,0.052000000000000005,54.0,3.13,0.47,8.9,5
200,6.8,0.27,0.26,0.049,55.0,3.15,0.5,9.3,5
201,7.1,0.32,0.24,0.05,52.0,3.1,0.49,8.8,5
202,6.9,0.54,0.32,0.05,53.0,3.2,0.5,9.6,5
203,6.8,0.26,0.34,0.034,39.0,3.33,0.53,12.0,6
204,5.8,0.28,0.35,0.053,36.0,3.28,0.5,10.2,4
205,6.4,0.21,0.5,0.042,45.0,3.15,0.43,8.8,5
206,7.0,0.16,0.32,0.045,38.0,3.21,0.34,9.2,5
207,10.2,0.44,0.88,0.049,20.0,2.99,0.51,9.9,4
208,6.8,0.57,0.29,0.04,15.0,3.32,0.74,10.2,5
209,6.1,0.4,0.31,0.048,23.0,3.22,0.77,9.5,6
210,5.6,0.245,0.25,0.032,12.0,3.31,0.34,10.5,5
211,6.8,0.18,0.38,0.038,35.0,3.32,0.59,11.2,7
212,7.0,0.16,0.32,0.045,38.0,3.21,0.34,9.2,5
213,6.7,0.13,0.29,0.051,31.0,3.44,0.37,9.7,6
214,6.2,0.25,0.25,0.03,35.0,3.3,0.44,11.1,7
215,5.8,0.26,0.24,0.044000000000000004,55.0,3.31,0.38,9.4,5
216,7.5,0.27,0.36,0.036000000000000004,45.0,3.03,0.33,11.0,5
217,5.8,0.26,0.24,0.044000000000000004,55.0,3.31,0.38,9.4,5
218,5.7,0.28,0.24,0.044000000000000004,60.0,3.31,0.44,9.4,5
219,7.5,0.23,0.36,0.036000000000000004,43.0,3.04,0.32,11.0,5
220,7.5,0.27,0.36,0.036000000000000004,45.0,3.03,0.33,11.0,5
221,7.2,0.685,0.21,0.07,33.0,3.0,0.55,9.1,6
222,6.2,0.25,0.25,0.03,35.0,3.3,0.44,11.1,7
223,6.5,0.19,0.3,0.043,33.0,3.42,0.39,9.1,6
224,6.3,0.495,0.22,0.046,31.0,3.39,0.54,10.4,6
225,7.1,0.24,0.41,0.046,39.0,3.32,0.39,8.7,5
226,6.4,0.17,0.32,0.048,41.0,3.5,0.5,9.7,6
227,7.1,0.25,0.32,0.040999999999999995,66.0,3.17,0.52,9.1,6
228,6.4,0.17,0.32,0.048,41.0,3.5,0.5,9.7,6
229,7.1,0.24,0.41,0.046,39.0,3.32,0.39,8.7,5
230,6.8,0.64,0.08,0.062,26.0,3.37,0.46,8.9,4
231,8.3,0.28,0.4,0.040999999999999995,38.0,3.34,0.51,9.6,6
232,8.2,0.27,0.39,0.039,49.0,3.31,0.51,9.5,6
233,7.2,0.23,0.38,0.057999999999999996,55.0,3.09,0.44,9.0,6
234,7.2,0.23,0.38,0.057999999999999996,55.0,3.09,0.44,9.0,6
235,7.2,0.23,0.38,0.057999999999999996,55.0,3.09,0.44,9.0,6
236,7.2,0.23,0.38,0.057999999999999996,55.0,3.09,0.44,9.0,6
237,6.8,0.52,0.32,0.044000000000000004,54.0,3.27,0.5,9.6,6
238,7.0,0.26,0.59,0.037000000000000005,40.0,3.34,0.41,11.1,7
239,6.2,0.25,0.21,0.039,28.0,3.48,0.64,9.6,6
240,7.3,0.32,0.23,0.05,49.0,3.2,0.46,8.7,5
241,7.7,0.31,0.26,0.031,23.0,3.13,0.5,10.4,5
242,7.1,0.21,0.37,0.026000000000000002,23.0,3.15,0.38,11.4,7
243,6.8,0.24,0.34,0.047,64.5,3.3,0.58,9.7,6
244,6.9,0.4,0.56,0.043,40.0,3.14,0.46,8.7,5
245,6.1,0.18,0.36,0.038,20.0,3.37,0.79,11.3,6
246,6.8,0.21,0.27,0.03,26.0,3.16,0.61,12.6,7
247,5.8,0.2,0.27,0.031,12.0,3.25,0.36,10.9,7
248,5.6,0.19,0.26,0.03,12.0,3.25,0.37,10.9,7
249,6.1,0.41,0.14,0.037000000000000005,18.0,3.38,0.45,10.0,5
250,5.9,0.21,0.28,0.053,40.0,3.72,0.7,10.0,4
251,8.5,0.26,0.21,0.07400000000000001,41.0,3.02,0.5,9.8,3
252,6.9,0.4,0.56,0.043,40.0,3.14,0.46,8.7,5
253,5.8,0.24,0.44,0.028999999999999998,5.0,3.53,0.43,11.7,3
254,5.8,0.24,0.39,0.054000000000000006,37.0,3.21,0.52,9.3,6
255,6.7,0.26,0.39,0.04,45.0,3.32,0.58,9.6,8
256,6.3,0.35,0.3,0.035,8.0,3.27,0.41,11.0,7
257,6.3,0.35,0.3,0.035,8.0,3.27,0.41,11.0,7
258,6.4,0.23,0.39,0.032,23.0,3.32,0.5,11.8,6
259,5.8,0.36,0.38,0.037000000000000005,3.0,3.28,0.34,11.4,4
260,6.9,0.115,0.35,0.048,36.0,3.32,0.42,10.2,6
261,6.9,0.29,0.4,0.043,36.0,2.93,0.47,8.9,5
262,6.9,0.28,0.4,0.036000000000000004,15.0,3.17,0.33,10.2,5
263,7.2,0.29,0.4,0.045,66.0,3.08,0.59,9.6,6
264,6.2,0.24,0.35,0.038,22.0,3.1,0.48,10.6,6
265,6.9,0.29,0.4,0.043,36.0,2.93,0.47,8.9,5
266,6.9,0.32,0.26,0.053,32.0,3.25,0.51,9.2,6
267,5.3,0.58,0.07,0.043,34.0,3.34,0.57,9.7,5
268,5.3,0.585,0.07,0.044000000000000004,34.0,3.34,0.57,9.7,6
269,5.4,0.59,0.07,0.045,36.0,3.34,0.57,9.7,6
270,6.9,0.32,0.26,0.053,32.0,3.25,0.51,9.2,6
271,5.2,0.6,0.07,0.044000000000000004,33.0,3.33,0.58,9.7,5
272,5.8,0.25,0.26,0.051,44.0,3.29,0.38,9.3,5
273,6.6,0.58,0.3,0.057,30.0,3.24,0.38,9.0,5
274,7.0,0.29,0.54,0.046,59.0,3.05,0.61,9.5,5
275,6.6,0.19,0.41,0.046,51.0,3.14,0.57,9.8,6
276,6.7,0.2,0.41,0.044000000000000004,50.0,3.14,0.58,9.8,6
277,7.7,0.26,0.4,0.042,9.0,2.89,0.5,10.6,5
278,6.8,0.32,0.34,0.044000000000000004,14.0,3.05,0.47,10.6,4
279,7.0,0.3,0.49,0.036000000000000004,17.0,3.26,0.68,12.4,7
280,7.0,0.24,0.36,0.034,22.0,3.19,0.38,12.6,8
281,6.1,0.31,0.58,0.039,36.0,3.3,0.6,12.3,8
282,6.8,0.44,0.37,0.047,46.0,3.08,0.65,10.5,4
283,6.7,0.34,0.3,0.054000000000000006,51.0,3.19,0.49,9.3,5
284,7.1,0.35,0.24,0.055,46.0,3.12,0.49,8.8,5
285,7.3,0.32,0.25,0.055999999999999994,47.0,3.08,0.47,8.8,5
286,6.5,0.28,0.33,0.053,51.0,3.22,0.51,9.7,6
287,7.2,0.23,0.39,0.057999999999999996,49.0,2.98,0.48,9.0,7
288,7.2,0.23,0.39,0.057999999999999996,49.0,2.98,0.48,9.0,7
289,7.2,0.23,0.39,0.057999999999999996,49.0,2.98,0.48,9.0,7
290,7.2,0.23,0.39,0.057999999999999996,49.0,2.98,0.48,9.0,7
291,5.9,0.15,0.31,0.040999999999999995,53.0,3.52,0.46,10.5,6
292,7.4,0.28,0.42,0.066,53.0,2.96,0.44,9.1,5
293,6.2,0.28,0.22,0.040999999999999995,26.0,3.44,0.64,9.8,7
294,9.1,0.59,0.38,0.066,34.0,3.23,0.38,8.5,3
295,6.3,0.33,0.27,0.046,34.0,3.37,0.54,9.4,6
296,8.3,0.39,0.7,0.045,33.0,3.09,0.57,9.4,5
297,7.2,0.19,0.46,0.040999999999999995,82.0,3.19,0.6,11.2,7
298,7.5,0.17,0.44,0.046,65.0,3.17,0.45,10.0,6
299,6.7,0.17,0.5,0.043,27.0,3.15,0.45,10.3,6
300,6.1,0.41,0.0,0.063,36.0,3.27,0.67,10.8,6
301,8.3,0.2,0.35,0.05,12.0,3.13,0.38,10.5,6
302,6.1,0.41,0.0,0.063,36.0,3.27,0.67,10.8,6
303,6.0,0.29,0.21,0.055,42.0,3.32,0.43,11.1,6
304,7.3,0.41,0.24,0.057,41.0,3.2,0.41,9.9,6
305,7.3,0.41,0.24,0.057,41.0,3.2,0.41,9.9,6
306,7.2,0.43,0.24,0.057999999999999996,40.0,3.2,0.41,9.9,5
307,7.3,0.4,0.24,0.057999999999999996,41.0,3.2,0.41,9.9,6
308,6.2,0.33,0.27,0.036000000000000004,30.0,3.2,0.42,10.4,7
309,6.2,0.31,0.26,0.037000000000000005,36.0,3.21,0.41,10.4,6
310,6.1,0.36,0.27,0.035,16.0,3.4,0.71,11.5,7
311,5.0,0.55,0.14,0.032,35.0,3.53,0.51,12.5,8
312,7.8,0.25,0.41,0.042,37.0,3.36,0.45,10.0,6
313,5.7,0.36,0.21,0.038,51.0,3.29,0.63,10.0,6
314,5.8,0.34,0.21,0.04,50.0,3.29,0.62,10.0,5
315,6.8,0.28,0.6,0.132,42.0,3.09,0.44,9.1,6
316,6.8,0.25,0.34,0.031,34.0,3.21,0.38,10.6,6
317,6.6,0.24,0.35,0.031,36.0,3.19,0.37,10.5,5
318,5.9,0.3,0.47,0.03,19.0,3.52,0.43,11.5,7
319,6.1,0.125,0.25,0.04,10.0,3.54,0.59,10.1,6
320,6.0,0.1,0.24,0.040999999999999995,15.0,3.61,0.61,10.3,7
321,6.6,0.24,0.35,0.031,36.0,3.19,0.37,10.5,5
322,6.8,0.25,0.34,0.031,34.0,3.21,0.38,10.6,6
323,6.8,0.28,0.44,0.031,35.0,3.16,0.36,10.4,6
324,8.3,0.41,0.51,0.046,11.0,3.02,0.55,11.4,5
325,7.5,0.27,0.31,0.057,131.0,3.18,0.59,10.5,5
326,7.9,0.26,0.41,0.04,38.0,2.96,0.6,10.0,6
327,6.4,0.34,0.23,0.039,37.0,3.19,0.65,10.0,6
328,6.5,0.28,0.35,0.042,55.0,3.23,0.5,9.6,6
329,7.2,0.21,0.41,0.036000000000000004,33.0,3.17,0.51,10.4,5
330,6.4,0.32,0.35,0.03,34.0,3.36,0.6,12.5,8
331,6.8,0.24,0.34,0.032,37.0,3.2,0.39,10.6,5
332,6.3,0.23,0.3,0.033,16.0,3.28,0.4,11.8,6
333,6.5,0.28,0.34,0.038,30.0,3.11,0.44,9.8,5
334,5.6,0.26,0.26,0.031,12.0,3.25,0.38,10.8,5
335,6.3,0.23,0.3,0.033,16.0,3.28,0.4,11.8,6
336,6.3,0.23,0.33,0.036000000000000004,15.0,3.32,0.42,11.2,6
337,5.8,0.27,0.27,0.045,55.0,3.28,0.42,9.3,6
338,5.9,0.26,0.4,0.047,12.0,3.45,0.53,10.4,5
339,6.6,0.18,0.35,0.049,49.0,3.43,0.85,10.2,7
340,7.4,0.2,0.43,0.045,27.0,3.19,0.55,9.0,7
341,8.0,0.24,0.36,0.047,17.0,3.2,0.54,10.0,6
342,6.4,0.26,0.42,0.044000000000000004,30.0,3.18,0.47,9.1,6
343,5.4,0.31,0.47,0.053,46.0,3.29,0.76,10.0,5
344,5.4,0.29,0.47,0.052000000000000005,47.0,3.29,0.75,10.0,6
345,7.1,0.145,0.33,0.05,33.0,3.28,0.4,9.6,6
346,5.6,0.34,0.1,0.031,20.0,3.36,0.51,11.2,7
347,6.7,0.19,0.41,0.055999999999999994,75.0,3.2,0.44,8.8,6
348,7.8,0.18,0.46,0.052000000000000005,38.0,3.15,0.5,10.0,6
349,7.6,0.17,0.45,0.054000000000000006,56.0,3.15,0.47,10.0,5
350,6.3,0.12,0.36,0.044000000000000004,47.0,3.27,0.74,11.4,7
351,7.3,0.33,0.4,0.038,32.0,3.03,0.3,11.9,7
352,5.5,0.335,0.3,0.071,27.0,3.14,0.51,9.6,6
353,7.3,0.33,0.4,0.038,32.0,3.03,0.3,11.9,7
354,5.8,0.4,0.42,0.047,38.5,3.25,0.57,9.6,6
355,7.3,0.22,0.37,0.063,48.0,2.89,0.38,9.0,6
356,7.3,0.22,0.37,0.063,48.0,2.89,0.38,9.0,6
357,6.1,0.36,0.33,0.05,24.0,3.15,0.78,9.5,6
358,10.0,0.2,0.39,0.05,19.0,3.0,0.42,10.4,6
359,6.9,0.24,0.34,0.04,43.0,3.2,0.59,10.6,6
360,6.4,0.24,0.32,0.047,54.0,3.28,0.5,10.2,6
361,7.1,0.365,0.14,0.055,24.0,3.15,0.43,8.9,5
362,6.8,0.15,0.3,0.05,40.0,3.4,0.39,9.7,6
363,7.3,0.22,0.37,0.063,48.0,2.89,0.38,9.0,6
364,6.8,0.16,0.4,0.037000000000000005,18.0,3.49,0.42,11.4,7
365,6.0,0.26,0.32,0.027999999999999997,29.0,3.4,0.71,12.3,7
366,6.0,0.18,0.27,0.08900000000000001,40.0,3.49,0.62,10.8,6
367,6.9,0.33,0.21,0.053,39.0,3.12,0.45,9.4,6
368,7.7,0.29,0.48,0.049,36.0,3.17,0.64,10.6,6
369,7.1,0.39,0.35,0.044000000000000004,26.0,3.17,0.29,11.6,5
